Species,Pose_#,Compound,Num_hbonds,mean h_bonds,Chimera_score,mean_score
O. syl,Pose 1,SPRO,1,0.6666666667,-5.5,-5.23
O. syl,Pose 2,SPRO,0,,-5.4,
O. syl,Pose 3,SPRO,0,,-5.3,
O. syl,Pose 4,SPRO,1,,-5.3,
O. syl,Pose 5,SPRO,1,,-5.2,
O. syl,Pose 6,SPRO,0,,-5.2,
O. syl,Pose 7,SPRO,2,,-5.2,
O. syl,Pose 8,SPRO,0,,-5.1,
O. syl,Pose 9,SPRO,1,,-5.1,
O. syl,Pose 10,SPRO,0,,-5,
O. syl,Pose 1,STX,4,3,-7.7,-6.66
O. syl,Pose 2,STX,4,,-7.1,
O. syl,Pose 3,STX,3,,-6.9,
O. syl,Pose 4,STX,3,,-6.6,
O. syl,Pose 5,STX,3,,-6.6,
O. syl,Pose 6,STX,5,,-6.5,
O. syl,Pose 7,STX,2,,-6.4,
O. syl,Pose 8,STX,2,,-6.3,
O. syl,Pose 9,STX,1,,-6.3,
O. syl,Pose 10,STX,6,,-6.2,
A. fem,Pose 1,BTX,2,0.7777777778,-9.6,-8.98
A. fem,Pose 2,BTX,1,,-9.4,
A. fem,Pose 3,BTX,2,,-9.4,
A. fem,Pose 4,BTX,1,,-9.4,
A. fem,Pose 5,BTX,1,,-9,
A. fem,Pose 6,BTX,0,,-8.9,
A. fem,Pose 7,BTX,0,,-8.7,
A. fem,Pose 8,BTX,0,,-8.6,
A. fem,Pose 9,BTX,0,,-8.4,
A. fem,Pose 10,BTX,0,,-8.4,
A. fem,Pose 1,DHQ,0,0.4444444444,-5.9,-5.4
A. fem,Pose 2,DHQ,1,,-5.8,
A. fem,Pose 3,DHQ,0,,-5.5,
A. fem,Pose 4,DHQ,1,,-5.4,
A. fem,Pose 5,DHQ,0,,-5.4,
A. fem,Pose 6,DHQ,0,,-5.4,
A. fem,Pose 7,DHQ,0,,-5.3,
A. fem,Pose 8,DHQ,1,,-5.2,
A. fem,Pose 9,DHQ,1,,-5.1,
A. fem,Pose 10,DHQ,0,,-5,
A. fem,Pose 1,PIP,2,1.444444444,-5.7,-5.44
A. fem,Pose 2,PIP,2,,-5.6,
A. fem,Pose 3,PIP,2,,-5.5,
A. fem,Pose 4,PIP,1,,-5.5,
A. fem,Pose 5,PIP,0,,-5.4,
A. fem,Pose 6,PIP,2,,-5.4,
A. fem,Pose 7,PIP,2,,-5.4,
A. fem,Pose 8,PIP,2,,-5.3,
A. fem,Pose 9,PIP,0,,-5.3,
A. fem,Pose 10,PIP,0,,-5.3,
A. fem,Pose 1,PTX,0,0.4444444444,-6.3,-5.65
A. fem,Pose 2,PTX,1,,-6.3,
A. fem,Pose 3,PTX,1,,-5.9,
A. fem,Pose 4,PTX,1,,-5.6,
A. fem,Pose 5,PTX,1,,-5.5,
A. fem,Pose 6,PTX,0,,-5.4,
A. fem,Pose 7,PTX,0,,-5.4,
A. fem,Pose 8,PTX,0,,-5.4,
A. fem,Pose 9,PTX,0,,-5.4,
A. fem,Pose 10,PTX,0,,-5.3,
A. fem,Pose 1,SPRO,0,0.4444444444,-6.1,-5.54
A. fem,Pose 2,SPRO,0,,-6,
A. fem,Pose 3,SPRO,0,,-5.8,
A. fem,Pose 4,SPRO,1,,-5.6,
A. fem,Pose 5,SPRO,1,,-5.5,
A. fem,Pose 6,SPRO,0,,-5.5,
A. fem,Pose 7,SPRO,2,,-5.3,
A. fem,Pose 8,SPRO,0,,-5.2,
A. fem,Pose 9,SPRO,0,,-5.2,
A. fem,Pose 10,SPRO,0,,-5.2,
A. fem,Pose 1,STX,2,3.888888889,-7.2,-6.88
A. fem,Pose 2,STX,5,,-7.1,
A. fem,Pose 3,STX,7,,-7,
A. fem,Pose 4,STX,3,,-7,
A. fem,Pose 5,STX,3,,-6.9,
A. fem,Pose 6,STX,4,,-6.8,
A. fem,Pose 7,STX,6,,-6.8,
A. fem,Pose 8,STX,3,,-6.7,
A. fem,Pose 9,STX,2,,-6.7,
A. fem,Pose 10,STX,7,,-6.6,
R. cat,Pose 1,BTX,0,0.6666666667,-9,-8.2
R. cat,Pose 2,BTX,1,,-8.9,
R. cat,Pose 3,BTX,2,,-8.4,
R. cat,Pose 4,BTX,1,,-8.2,
R. cat,Pose 5,BTX,0,,-8.2,
R. cat,Pose 6,BTX,1,,-8.1,
R. cat,Pose 7,BTX,1,,-8,
R. cat,Pose 8,BTX,0,,-7.8,
R. cat,Pose 9,BTX,0,,-7.8,
R. cat,Pose 10,BTX,0,,-7.6,
R. cat,Pose 1,DHQ,0,0.1111111111,-6.1,-5.58
R. cat,Pose 2,DHQ,0,,-5.9,
R. cat,Pose 3,DHQ,0,,-5.9,
R. cat,Pose 4,DHQ,0,,-5.6,
R. cat,Pose 5,DHQ,0,,-5.6,
R. cat,Pose 6,DHQ,0,,-5.5,
R. cat,Pose 7,DHQ,0,,-5.4,
R. cat,Pose 8,DHQ,0,,-5.3,
R. cat,Pose 9,DHQ,1,,-5.3,
R. cat,Pose 10,DHQ,1,,-5.2,
R. cat,Pose 1,PIP,0,0.5555555556,-5.4,-5.12
R. cat,Pose 2,PIP,0,,-5.3,
R. cat,Pose 3,PIP,1,,-5.2,
R. cat,Pose 4,PIP,0,,-5.1,
R. cat,Pose 5,PIP,0,,-5.1,
R. cat,Pose 6,PIP,1,,-5.1,
R. cat,Pose 7,PIP,1,,-5.1,
R. cat,Pose 8,PIP,1,,-5,
R. cat,Pose 9,PIP,1,,-5,
R. cat,Pose 10,PIP,1,,-4.9,
R. cat,Pose 1,PTX,0,0.3333333333,-6.4,-5.7
R. cat,Pose 2,PTX,1,,-6,
R. cat,Pose 3,PTX,0,,-5.9,
R. cat,Pose 4,PTX,0,,-5.8,
R. cat,Pose 5,PTX,1,,-5.8,
R. cat,Pose 6,PTX,1,,-5.8,
R. cat,Pose 7,PTX,0,,-5.6,
R. cat,Pose 8,PTX,0,,-5.4,
R. cat,Pose 9,PTX,0,,-5.2,
R. cat,Pose 10,PTX,0,,-5.1,
R. cat,Pose 1,SPRO,2,0.3333333333,-6.7,-5.97
R. cat,Pose 2,SPRO,0,,-6.5,
R. cat,Pose 3,SPRO,0,,-6.1,
R. cat,Pose 4,SPRO,0,,-6.1,
R. cat,Pose 5,SPRO,0,,-5.9,
R. cat,Pose 6,SPRO,0,,-5.8,
R. cat,Pose 7,SPRO,1,,-5.7,
R. cat,Pose 8,SPRO,0,,-5.7,
R. cat,Pose 9,SPRO,0,,-5.6,
R. cat,Pose 10,SPRO,0,,-5.6,
R. cat,Pose 1,STX,1,1.888888889,-7.6,-6.56
R. cat,Pose 2,STX,3,,-6.9,
R. cat,Pose 3,STX,2,,-6.8,
R. cat,Pose 4,STX,6,,-6.6,
R. cat,Pose 5,STX,0,,-6.5,
R. cat,Pose 6,STX,3,,-6.4,
R. cat,Pose 7,STX,0,,-6.4,
R. cat,Pose 8,STX,0,,-6.2,
R. cat,Pose 9,STX,2,,-6.1,
R. cat,Pose 10,STX,4,,-6.1,
